name,country_code,genres,spotify_followers,spotify_monthly_listeners,facebook_likes,facebook_talks,twitter_followers,twitter_retweets,youtube_channel_views,youtube_daily_video_views,youtube_monthly_video_views,TikTok_followers,TikTok_Genz_followers,TikTok_Genz_followers_percentage,TikTok_avg_engagements_per_post,TikTok_number_of_top_tracks,TikTok_total_creations_for_top_n_tracks,TikTok_avg_creations_for_top_n_tracks,TikTok_total_views_for_top_n_tracks,TikTok_avg_views_for_top_n_tracks,Instagram_followers,Instagram_Genz_followers,Instagram_Genz_followers_percentage,Instagram_avg_engagements_per_post,artist_id,Youtube_subscribers,Youtube_Genz_subscribers,Youtube_Genz_subscribers_percentage,Youtube_avg_engagements_per_post
Taylor Swift,US,"pop, post-teen pop, country pop, rock, country, insights_high_priority_artists, sony_high_priority_artists",77662909,91726245,78919023,809915,93148959,140427,29572513162,19554078,528244389,18900000,13286700,70.3,2065760,10,5678500,567850,8988924216,898892422,264249416,126945419.5,48.04,6115673,2762,52400000,37020600,70.65,200641
Drake,CA,"rap, canadian pop, hip hop, canadian hip hop, toronto rap, hip-hop/rap, insights_high_priority_artists, sony_high_priority_artists",76540482,72284128,52674885,7071,39387668,0,15202558536,8313224,227468333,,,,,10,11418500,1141850,8947073534,894707353,139423913,61862390.2,44.37,1236919,3380,28100000,18897250,67.25,188313
The Weeknd,CA,"canadian pop, canadian contemporary r&b, hip-hop/rap, r&b/soul, pop, insights_high_priority_artists, sony_high_priority_artists",66847768,106994268,17738800,394982,17369686,,23161533578,18954431,505694383,7600000,4939240,64.99,96656,10,5496500,549650,5526888065,552688806,60656010,29375705.64,48.43,1373481,3852,32500000,21466250,66.05,41304
Bad Bunny,PR,"reggaeton, trap latino, hip-hop/rap, latino, latin urban, latin, latin hip-hop/rap, latin dance, urbano latino, sony_high_priority_artists",70733685,74059334,14152697,22458,4976745,0,30452455918,32292929,823481252,31300000,24307580,77.66,5599350,10,13880000,1388000,18219555004,1821955500,45734738,25003181.26,54.67,4235162,214945,46000000,33814600,73.51,1543986
Rihanna,BB,"pop, urban contemporary, barbadian pop, dance, r&b/soul, rock, insights_high_priority_artists, sony_high_priority_artists",55991253,74886533,104695375,338760,108152067,38950,22374085644,9413225,252389099,8500000,5026050,59.13,7790000,10,5325000,532500,2498762940,249876294,152064802,65722407.42,43.22,5357530,2316,41800000,28010180,67.01,319837
Ed Sheeran,GB,"pop, uk pop, singer/songwriter, hip-hop/rap, rock, insights_high_priority_artists, sony_high_priority_artists",112988074,83135215,22723857,120792,17209264,,30246888308,11637839,306805734,13900000,9254620,66.58,87145,10,14946400,1494640,10706076435,1070607644,44242732,23461920.78,53.03,189395,3648,53400000,36514920,68.38,21579
Justin Bieber,CA,"canadian pop, rock, dance, pop, insights_high_priority_artists, sony_high_priority_artists",72665178,72462227,92186446,14237,112120291,0,30511534852,8804756,250319908,26800000,18400880,68.66,1154011,10,25900504,2590050,31791238557,3179123856,292753037,155159109.6,53,3224975,3479,71500000,53532050,74.87,130686
Eminem,US,"rap, hip hop, detroit hip hop, rock, hip-hop/rap, hardcore rap, insights_high_priority_artists, sony_high_priority_artists",72634965,65815073,95410348,13923,22248216,,26928282148,14395427,412716022,558200,354791.92,63.56,0,10,5113617,511362,8271618027,827161803,39210744,17397807.11,44.37,863179,236,56700000,36582840,64.52,19240
Ariana Grande,US,"pop, r&b/soul, insights_high_priority_artists, soundtracks, sony_high_priority_artists",91417228,69582896,42920084,119551,,,23917704166,9099186,259961472,32300000,28123610,87.07,421545,10,9948000,994800,4109748321,410974832,374974260,200836213.7,53.56,3498242,3963,52600000,39544680,75.18,466936
Selena Gomez,US,"pop, post-teen pop, dance, rock, electronic, insights_high_priority_artists",43161247,55911424,60637609,11190,66802663,,12945800738,7585371,210002937,58600000,47149560,80.46,6313513,10,13348344,1334834,2348634660,234863466,424461191,209896059,49.45,9468072,3168,33500000,25222150,75.29,583305
Shakira,CO,"latin pop, pop, dance pop, colombian pop, latino, pop latino, latin, insights_high_priority_artists, sony_high_priority_artists",29846216,71980172,123692449,216731,53822526,,27361265189,17977786,531878255,37100000,23246860,62.66,933363,10,14060300,1406030,18942727541,1894272754,87500471,33775181.81,38.6,1829464,308,43100000,27221960,63.16,538279
Dua Lipa,GB,"pop, dance pop, uk pop, dance, hip-hop/rap, electronic, insights_high_priority_artists, sony_high_priority_artists",40332950,71881133,17944397,269256,10327797,,11217736997,6387797,213887616,9100000,6559280,72.08,440558,10,16465100,1646510,11929594225,1192959422,88348358,45146010.94,51.1,2034671,5381,21700000,14758170,68.01,89511
KAROL G,CO,"reggaeton, trap latino, reggaeton colombiano, latin, latino, latin urban, latin pop, latin hip-hop/rap, urbano latino",36439476,48820444,29587160,110694,9981378,,18457514339,18829230,572805140,47400000,33658740,71.01,2029411,10,12879200,1287920,9587601450,958760145,63741935,33432644.91,52.45,4506846,206809,31900000,22317240,69.96,127467
Miley Cyrus,US,"pop, rock, teen pop, insights_high_priority_artists, sony_high_priority_artists",21192332,75816403,47745616,18062,46601858,0,7686067694,7838164,231533570,17900000,12039540,67.26,204216,10,8980700,898070,13238633509,1323863351,211035128,101529000.1,48.11,908633,2619,18200000,13309660,73.13,71194
Billie Eilish,US,"pop, art pop, electropop, alternative, dance, electronic, insights_high_priority_artists, sony_high_priority_artists",82160317,55184432,32529989,69955,7253072,0,13552693172,6163127,186896721,47900000,37438640,78.16,11008290,10,8766013,876601,4779874573,477987457,109417583,72456323.46,66.22,6194486,5596,47900000,34943050,72.95,186286
